Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Checking,1010,33019,35326,38156,41646,47532,52261,59974,64496,70531,75437,77611,80747,83209,86275,90049,94252,100645,105713,111506,118106,123669,127964,131583,133789,134740,136843,140486,146180,151103,157708,164881,172932,180128,183593,185575,188727,190773,194199,197908,204005,209660,216840,223906,230180,235082,240759,243759,247317,249288,252808,257379,263434,268935,277630,284125,291962,297537,302511,305650,308745
Accounts Receivable,1100,5595,6633,6443,7430,7353,9608,10239,9121,9098,7041,7108,6112,5970,7166,6885,6926,9815,8087,10760,9859,9501,8886,7369,7277,6210,5853,6940,8381,7616,10213,8314,9866,9415,8425,8151,7904,6676,6185,8169,8798,9070,11207,11551,10642,9575,9002,6789,8155,5949,6074,8035,7952,9632,9893,10266,10519,10406,7539,8704,8399
Materials Inventory,1300,3620,3926,4902,5142,5365,5887,5593,5624,5396,4770,4109,3873,3964,4233,4645,5232,5810,6001,6098,6214,5522,4810,4366,4112,4199,4006,5065,5595,6048,6700,6807,5461,5467,5576,4622,4392,4273,4730,4841,5309,5907,6471,6842,6333,6172,5015,4559,4998,4500,4719,5015,5603,6632,6288,7101,6833,6360,5742,4970,4889
Vehicles (Net),1500,57200,56732,56264,55796,55328,54860,54392,53924,53456,52988,52520,52052,51584,51116,50648,50180,49712,49244,48776,48308,47840,47372,46904,46436,45968,45500,45032,44564,44096,43628,43160,42692,42224,41756,41288,40820,40352,39884,39416,38948,38480,38012,37544,37076,36608,36140,35672,35204,34736,34268,33800,33332,32864,32396,31928,31460,30992,30524,30056,29588
Tools & Equipment (Net),1600,23400,23192,22984,22776,22568,22360,22152,21944,21736,21528,21320,21112,20904,20696,20488,20280,20072,19864,19656,19448,19240,19032,18824,18616,18408,18200,17992,17784,17576,17368,17160,16952,16744,16536,16328,16120,15912,15704,15496,15288,15080,14872,14664,14456,14248,14040,13832,13624,13416,13208,13000,12792,12584,12376,12168,11960,11752,11544,11336,11128
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,2010,7290,7467,8714,9076,9996,10770,9574,9369,9701,8544,8243,7142,7128,7270,8482,9633,9160,11501,10481,10777,8944,8086,8117,7317,7298,6805,9138,10106,10296,11549,11165,10270,10010,10045,7794,7177,7363,7582,9252,9477,11289,11794,11444,10358,11003,10050,9112,8455,7298,8228,8396,10801,11648,11003,12510,11580,11356,9073,7978,7901
Credit Card Payable,2100,3000,3218,3067,2804,3119,2618,1952,2128,2491,2070,2085,2582,2931,2071,2650,3150,2469,2115,3028,2416,2545,2446,2151,2350,3050,2544,2622,3209,2196,2879,2874,3186,2803,3213,2024,2557,3048,2331,1977,3077,3068,2392,3028,2037,3100,2845,2107,2695,2295,2619,2221,2359,2235,2309,2651,2991,2146,2943,2532,2983
Accrued Payroll,2200,3144,3294,3718,3549,3892,4472,4215,4116,4117,3502,3550,3356,3199,3233,3463,4010,4073,4334,4849,4627,4479,3683,3219,3595,3089,3433,4002,4235,4550,5096,4712,4654,4004,3732,3296,3273,3271,3401,3799,4518,4781,4773,5295,4515,4369,3928,3531,3390,3612,3553,3827,4693,4801,4897,4951,4949,4322,4466,4012,3568
Customer Deposits,2400,3237,3218,4203,4738,4940,5295,4704,4927,4759,3793,4176,3377,3933,3588,4276,4954,4897,5515,5223,4723,4809,3992,4276,3456,3824,4069,4596,5278,5256,5197,5797,5733,4852,4495,3871,4358,3590,3490,4158,5058,4930,5627,6431,5325,4866,5070,4578,4609,4126,4124,4615,5092,5985,5926,5895,5628,5770,4414,3932,4067
