Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Checking,1010,45921,52490,62309,71948,83014,95689,110276,122675,135245,144504,153300,160608,167349,175185,185061,195920,210601,224786,238002,252137,263507,275753,284361,293263,301076,309518,321348,331294,344891,363085,379295,394988,407131,418492,427422,436899,446808,454955,467315,481101,494824,513202,531580,548470,562051,575373,585919,596799,607500,617743,630954,644956,662678,681913,700077,718912,735599,749487,760759,771252
Accounts Receivable,1100,7767,7082,9740,10611,9972,11514,11492,9642,9687,8336,9245,7379,8233,7128,9166,9242,10245,11073,13453,12413,12030,9357,9883,8977,9228,7308,9790,11680,11121,13454,10868,11538,12323,9933,8138,9327,8413,9158,10700,12953,13782,12938,13733,11503,13094,11398,9718,8887,8094,8924,10428,12215,13971,14188,13562,13621,13920,10635,11929,11356
Materials Inventory,1300,4505,5321,5632,6434,6789,6867,7502,6832,7026,6312,5777,4986,5223,4888,6392,6109,6331,6928,7037,6819,6472,6908,5119,5624,5218,5481,6221,7432,6935,7509,8555,7232,6702,6241,6322,6179,5482,5809,6461,6698,8573,8374,9055,8837,7639,6571,6563,6396,6502,5694,6994,7058,8487,8154,8403,9213,7503,7519,6820,5985
Vehicles (Net),1500,70400,69824,69248,68672,68096,67520,66944,66368,65792,65216,64640,64064,63488,62912,62336,61760,61184,60608,60032,59456,58880,58304,57728,57152,56576,56000,55424,54848,54272,53696,53120,52544,51968,51392,50816,50240,49664,49088,48512,47936,47360,46784,46208,45632,45056,44480,43904,43328,42752,42176,41600,41024,40448,39872,39296,38720,38144,37568,36992,36416
Tools & Equipment (Net),1600,28800,28544,28288,28032,27776,27520,27264,27008,26752,26496,26240,25984,25728,25472,25216,24960,24704,24448,24192,23936,23680,23424,23168,22912,22656,22400,22144,21888,21632,21376,21120,20864,20608,20352,20096,19840,19584,19328,19072,18816,18560,18304,18048,17792,17536,17280,17024,16768,16512,16256,16000,15744,15488,15232,14976,14720,14464,14208,13952,13696
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,2010,8404,7977,9587,11284,12691,11421,12994,13026,11825,9718,10112,9758,8623,8278,10554,12399,13306,12419,12436,13653,11967,12309,10346,10407,9273,10520,10775,13369,13823,14321,14192,13884,13183,12102,11639,11409,9171,9817,11073,13244,14536,15817,14313,14542,14081,12023,11580,10168,9787,11319,12079,14069,14086,15059,15395,16571,15332,14423,11739,11801
Credit Card Payable,2100,2588,2886,3299,2562,2696,3788,3784,3219,3550,3671,2789,3964,3120,2726,3210,2694,2441,3263,3277,2420,3965,2542,3922,3199,2409,2607,3380,2750,2657,3343,3399,2992,3604,3817,2559,2650,3643,3656,3585,3822,2551,2598,2452,3966,3100,3573,3935,2544,3591,2538,2866,3141,2613,3202,3998,3678,2852,2463,2564,3029
Accrued Payroll,2200,3934,3701,4587,4778,5217,5465,5968,5805,4676,4399,4447,4384,3679,3844,4432,4765,5862,5662,5668,5844,5140,5146,4248,3991,3997,4094,4619,5385,6209,5976,6439,6367,5269,5390,4770,4338,4698,4398,5536,5689,6350,6698,6632,6422,5554,5220,5311,4522,4309,5144,5659,6048,6793,7262,6843,7157,6888,5547,4851,5250
Customer Deposits,2400,4044,4797,5481,5601,5623,6600,6743,6996,6437,5969,4591,4379,4722,5111,5102,6171,6208,7091,6449,5888,6237,5049,4481,5008,4875,5401,5887,6857,6722,6930,7269,6958,6499,6350,4991,4817,5068,5539,6570,6446,7780,7866,7303,8090,7242,6501,6343,5784,5607,5771,6844,6392,7110,8623,8898,7885,7671,6069,5618,6270
Vehicle Loans (Long Term),2600,57600,56768,55936,55104,54272,53440,52608,51776,50944,50112,49280,48448,47616,46784,45952,45120,44288,43456,42624,41792,40960,40128,39296,38464,37632,36800,35968,35136,34304,33472,32640,31808,30976,30144,29312,28480,27648,26816,25984,25152,24320,23488,22656,21824,20992,20160,19328,18496,17664,16832,16000,15168,14336,13504,12672,11840,11008,10176,9344,8512
Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner Capital,3000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000
Retained Earnings,3900,-15176,-8867,328,10367,19149,32394,45383,55702,71070,80995,91984,96088,106259,112841,122920,130843,144959,159951,176262,189165,200301,212573,221968,230858,240568,245284,258299,267645,279137,299077,313018,329158,343201,352607,363522,374791,383725,392111,403313,417150,431562,447135,469267,481388,498407,511625,520630,534664,544403,553189,566528,580178,600135,615708,632508,652056,669879,684739,700336,707843
