Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Call Revenue,4000,43342,43101,50744,56203,58765,64889,65547,62027,57431,54928,48269,45568,45487,44953,50158,56785,60301,63861,68675,63992,58773,55356,48517,48237,44505,46005,54508,60856,64509,66397,71010,66289,60482,55739,49853,50569,48106,49637,54526,61957,63895,70515,72735,69599,62219,60478,51005,52843,49212,50484,56287,62830,66881,72245,72359,72597,65966,62574,54220,54300
Project Revenue,4100,22334,21708,29296,30915,30290,33360,35102,31916,31100,30198,24085,25816,21960,25135,26397,34273,32978,35791,33625,39112,30325,31687,24227,26026,22735,24078,26522,35115,32740,40627,34856,39138,34320,32477,25335,27982,27538,28693,28413,36019,34832,41069,42137,36435,35730,35090,30145,29762,26733,27896,29075,34982,37298,40533,42395,41721,35607,35520,27916,28537
Materials Markup,4300,12569,13816,15516,16188,16943,17975,20378,18419,17218,16341,13570,13388,12849,14384,14598,17286,18327,20526,20543,20242,18913,15948,14739,14847,13563,14864,15961,17681,19332,20006,21794,19991,19389,17315,14787,14582,13433,14287,15696,17705,19656,21432,20789,20840,20113,18730,16394,14772,15165,14991,18149,19477,21166,21176,22567,21190,19553,18882,15950,15525
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subcontractor Labor,5000,19625,20970,25674,27889,27146,31326,31025,30189,27031,25858,22713,21295,20379,21674,23053,28278,28576,31898,32654,32659,27441,27117,21879,23175,21765,22380,25066,29097,30991,33157,32790,31603,28699,28525,23686,23276,23552,23202,25733,29260,31008,34853,36093,33545,31485,28613,25585,25345,23456,24068,26544,30778,32850,33649,35486,34580,31498,30426,25059,25888
Materials & Parts,5100,15676,15106,19616,21150,20240,22709,22990,22421,20067,20395,16819,16601,16020,16032,17569,22163,21226,23864,25114,24110,21814,20362,16925,18170,16306,16966,19695,23159,23205,25102,25306,24554,21910,20597,18266,18672,18169,19010,19198,22875,22751,26348,26370,26068,23486,22703,19308,18554,18422,18055,20350,22525,25377,25508,27234,27796,24149,23185,19385,19207
Equipment Rental,5200,2979,2767,3496,3680,4019,4362,4517,4208,4028,3700,3088,3235,2865,2959,3463,3978,4258,4240,4372,4697,3771,3619,3135,3394,2875,2954,3688,4140,4251,4492,4589,4406,4106,3894,3125,3410,3240,3349,3598,4412,4367,5077,4931,4396,4211,4244,3696,3601,3480,3559,3784,4451,4615,4907,5239,4782,4395,4074,3536,3589
Disposal & Permit Fees,5300,2087,2146,2560,2640,2807,2946,3224,2820,2788,2682,2211,2300,2059,2117,2266,2847,2834,3168,3120,3100,2837,2579,2290,2248,2178,2264,2585,2820,2904,3173,3408,3311,2916,2753,2424,2494,2327,2347,2570,2892,3194,3329,3409,3163,2976,3082,2509,2531,2339,2419,2680,3016,3359,3574,3652,3365,3056,3092,2425,2600
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Technician Wages,6000,15226,14625,18162,19980,19756,22707,22365,21745,19933,18921,16813,15928,15316,16411,17322,20854,20802,23429,23168,23043,20141,19617,16504,17401,15525,16096,17930,21495,22485,24619,23767,23272,21200,20242,17495,18156,16897,17399,18984,21886,22755,24941,26376,23591,22442,21717,18865,18889,17806,17408,19425,21642,23579,25394,26816,25393,23059,22714,19100,18806
Payroll Taxes & Benefits,6100,2132,2048,2543,2797,2766,3179,3131,3044,2791,2649,2354,2230,2144,2298,2425,2920,2912,3280,3244,3226,2820,2746,2311,2436,2173,2253,2510,3009,3148,3447,3327,3258,2968,2834,2449,2542,2366,2436,2658,3064,3186,3492,3693,3303,3142,3040,2641,2644,2493,2437,2719,3030,3301,3555,3754,3555,3228,3180,2674,2633
Vehicle & Fuel,6200,2258,2317,2342,2625,2777,3296,3392,2954,2776,2537,2434,2319,2216,2357,2638,2890,2902,3406,3289,3065,2908,2638,2556,2380,2352,2410,2623,2859,3319,3299,3653,3287,3003,2954,2474,2532,2290,2573,2747,2887,3210,3631,3389,3430,3333,2999,2558,2479,2586,2443,2707,3159,3536,3546,3867,3525,3411,2984,2852,2757
Shop Rent,6300,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120,3120
Utilities,6400,786,776,862,942,1082,1070,1108,1063,994,937,823,802,746,775,851,1021,1075,1175,1150,1085,1035,945,835,839,759,817,867,1030,1087,1135,1182,1133,1027,978,860,797,798,774,859,1031,1007,1076,1159,1099,1042,971,861,827,788,751,883,967,1046,1121,1181,1054,1046,931,843,779
Marketing & Advertising,6500,2722,2633,2662,2737,2679,2711,2869,2743,2675,2732,2927,2876,2798,2796,2986,3014,3113,2949,2911,3129,3004,3079,3160,3134,3191,3177,3242,3082,3131,3290,3428,3466,3245,3431,3270,3488,3444,3326,3375,3488,3590,3561,3507,3493,3588,3760,3698,3738,3779,3864,3790,3923,3949,3965,4041,3804,3810,4018,3976,3952
Franchise Royalty Fees,6600,4695,4718,5733,6198,6360,6973,7262,6742,6345,6088,5155,5086,4818,5068,5469,6501,6696,7211,7371,7401,6481,6179,5249,5347,4848,5097,5819,6819,6995,7622,7660,7525,6851,6332,5399,5588,5345,5557,5918,6941,7103,7981,8140,7612,7084,6858,5853,5843,5467,5602,6211,7037,7521,8037,8239,8131,7268,7019,5885,5902
Corporate Ad Fund Contribution,6650,1565,1573,1911,2066,2120,2324,2421,2247,2115,2029,1718,1695,1606,1689,1823,2167,2232,2404,2457,2467,2160,2060,1750,1782,1616,1699,1940,2273,2332,2541,2553,2508,2284,2111,1800,1863,1782,1852,1973,2314,2368,2660,2713,2537,2361,2286,1951,1948,1822,1867,2070,2346,2507,2679,2746,2710,2423,2340,1962,1967
