Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Call Revenue,4000,71895,74081,85785,94657,103551,109791,113322,109551,103934,94156,84999,80138,79388,80905,94834,106077,109122,117809,122946,122908,114618,104646,89710,89258,89688,89529,105902,116220,126458,134673,135175,131910,120237,111487,102383,102129,98257,99090,115323,127609,138410,147289,153201,143773,136956,127161,108379,111330,102828,107328,122159,138054,147618,159534,163979,162080,151035,138254,123269,120439
Project Revenue,4100,39151,42991,44354,49275,54895,64156,65349,66098,56822,49071,48981,45046,42102,43180,49979,54171,61047,65913,70548,69553,62329,60692,54434,53862,46261,46752,59419,59512,71046,76225,73590,69483,66731,63597,60722,53355,57813,54086,59664,65810,70002,85033,74700,74754,69394,66849,57973,59072,55842,66004,68718,79471,80265,84372,92279,90291,75262,82159,68066,69673
Maintenance Plan Revenue,4200,15679,15873,17799,21446,22870,23822,24472,23303,23109,21598,18793,17947,17170,18032,20934,23431,24461,26010,28373,25389,24662,22130,19371,20053,20135,19717,22460,24974,27494,29119,30585,29114,27764,24290,22573,20916,21600,22111,24326,28843,30166,33152,31651,30862,29117,27853,24264,24614,22650,24427,27777,31558,32527,35473,36005,35519,34020,30335,28344,26438
Materials Markup,4300,22537,23313,24194,27390,32200,33030,34456,34887,32001,28711,26507,24595,24456,23571,26431,30110,32154,38233,38668,37741,34158,32084,28907,26313,25301,27906,30422,34821,38501,39021,38932,38222,38124,36162,30089,31326,30333,28121,35349,38957,43025,46025,44036,45446,38540,39660,33001,33127,32310,33365,35282,39463,43380,49711,49229,46228,46058,43742,38530,35766
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subcontractor Labor,5000,33097,34665,39911,44084,48574,53918,56679,52959,50409,45037,40603,39730,38168,36630,45455,48766,51626,56510,60789,58754,55055,49432,43288,42302,40100,43055,50782,53807,60399,64178,63627,59400,58893,52584,47701,49208,47029,46595,53030,60101,62366,70597,68178,68062,61321,61067,50240,53611,50445,53779,58795,65444,69094,73941,78744,76498,68267,66653,58458,60307
Materials & Parts,5100,25388,27496,30563,34698,37323,41783,43192,42262,37317,33051,30773,28360,28026,29256,33210,37288,38553,43560,43726,45873,41192,38858,33680,33227,32940,33014,36940,42762,45323,47934,49644,46315,43694,39877,36394,35197,37768,34757,40280,45235,49905,54204,53538,52335,48423,45883,40026,39685,38384,39183,42723,50705,53241,56873,61628,58282,54645,50386,44826,44860
Equipment Rental,5200,4779,4997,5763,6040,7061,7340,7512,7314,7171,6469,5577,5156,5508,5127,5964,6749,7623,8037,8453,8327,7489,6779,6191,5971,5964,6144,6765,7583,8519,9249,8655,8446,8083,7941,7239,6356,6881,6751,7794,8654,8758,9986,9886,9054,8668,8329,7201,7283,6795,7235,8399,9448,9593,10675,10886,10954,9996,9341,8577,8139
Disposal & Permit Fees,5300,3391,3475,4038,4232,4813,5374,5564,5618,4893,4638,4109,3741,3602,3972,4610,4692,5143,5908,6240,6120,5617,5287,4310,4443,4123,4318,4919,5612,6130,6447,6360,6282,6008,5607,4909,4598,4751,4875,5378,5808,6245,6957,6922,7089,6534,5915,5228,5084,5115,5168,6000,6734,7018,7508,7770,7498,6721,7105,5876,6079
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Technician Wages,6000,23885,25385,28091,30158,33195,37776,38972,37702,33639,30717,27983,26169,25823,26485,31372,34285,36867,40603,41164,41741,37550,35674,31039,30985,29246,29683,34164,37653,41232,44106,43410,44201,40178,38056,35101,32358,33888,31589,37172,42674,45139,50326,49404,47387,42685,41177,35879,35945,34584,36706,40235,45800,49825,53350,53201,54014,47734,47784,42188,41508
Payroll Taxes & Benefits,6100,3344,3554,3933,4222,4647,5289,5456,5278,4710,4300,3918,3664,3615,3708,4392,4800,5161,5684,5763,5844,5257,4994,4345,4338,4094,4156,4783,5271,5772,6175,6077,6188,5625,5328,4914,4530,4744,4422,5204,5974,6320,7046,6917,6634,5976,5765,5023,5032,4842,5139,5633,6412,6976,7469,7448,7562,6683,6690,5906,5811
Vehicle & Fuel,6200,3776,3659,4112,4822,4917,5331,5592,5538,5221,4588,3948,4264,4012,4216,4675,4990,5280,5970,5858,5890,5707,5127,4703,4614,4258,4276,4956,5883,6480,6572,6786,6594,6099,5935,5255,4824,4851,4852,5919,5994,6767,7051,7906,7366,6859,5986,5411,5637,5155,5558,6097,6874,7366,7760,8354,7697,7547,6800,6448,6090
Shop Rent,6300,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280
Utilities,6400,1352,1394,1526,1610,1689,1947,2002,1810,1694,1633,1409,1369,1316,1300,1462,1598,1721,1936,2019,1873,1653,1626,1390,1344,1246,1357,1572,1659,1857,1903,1969,1903,1726,1507,1334,1425,1327,1271,1479,1662,1834,1973,1961,1795,1719,1544,1325,1414,1290,1345,1456,1587,1811,1807,2024,1829,1690,1626,1386,1400
Marketing & Advertising,6500,4340,4193,4248,4483,4377,4327,4329,4471,4694,4600,4478,4718,4743,4564,4677,4609,4940,5053,4654,5086,4919,4766,5166,5050,4924,5049,5009,5287,5302,5088,5333,5217,5330,5297,5345,5472,5693,5434,5542,5880,5635,5555,5582,5760,5893,5999,5649,5794,6185,5929,5877,5977,6317,5929,6485,6212,6483,6162,6258,6582
Franchise Royalty Fees,6600,8956,9375,10328,11566,12811,13848,14256,14030,12952,11612,10757,10064,9787,9941,11531,12827,13607,14878,15632,15336,14146,13173,11545,11369,10883,11034,13092,14132,15810,16742,16697,16124,15171,14132,12946,12464,12480,12204,14080,15673,16896,18690,18215,17690,16440,15691,13417,13689,12818,13867,15236,17313,18227,19745,20490,20047,18383,17669,15493,15139
Corporate Ad Fund Contribution,6650,2985,3125,3443,3855,4270,4616,4752,4677,4317,3871,3586,3355,3262,3314,3844,4276,4536,4959,5211,5112,4715,4391,3848,3790,3628,3678,4364,4711,5270,5581,5566,5375,5057,4711,4315,4155,4160,4068,4693,5224,5632,6230,6072,5897,5480,5230,4472,4563,4273,4622,5079,5771,6076,6582,6830,6682,6128,5890,5164,5046
Insurance,6700,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
Tools & Small Equipment,6800,1315,984,1137,911,758,1184,966,1355,739,1189,778,858,1136,1213,1311,1121,984,1258,904,1283,1126,869,1245,904,790,1011,1308,1235,942,1270,773,1339,838,1254,873,897,766,1231,752,933,1216,1026,1206,1013,1281,1042,1229,882,1219,870,1218,1331,1276,890,849,920,1321,1222,1136,1041
