Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Checking,1010,27368,27128,27384,28547,29672,32618,35999,37908,39191,38875,38008,38715,37736,38319,37778,38789,39868,41814,43828,45887,47124,46769,46290,46342,46325,45839,45689,45692,46771,48510,51294,53257,54605,55192,54378,53939,53137,52078,51310,52911,54365,56622,58868,60826,61840,63152,62964,62526,62213,60155,60270,61189,62803,64534,67198,70108,71232,71688,71236,71215
Accounts Receivable,1100,5101,5231,6112,6200,6871,7316,7724,7367,7106,7241,6205,6343,5739,5386,6441,6339,8191,7807,7397,7972,6865,5972,5152,6205,5540,6073,6788,7880,8011,6816,8598,6794,7767,6588,5632,6013,5897,5827,5849,7873,7872,9090,9372,7793,6772,6811,6748,5175,5305,4848,5655,6531,8355,7045,9195,7428,6910,7661,5164,6104
Materials Inventory,1300,3654,3658,3652,4571,4402,5005,5153,4449,4587,3888,3326,3879,3716,3225,4314,4788,4457,4790,5563,5285,4384,4436,3752,3510,3516,3729,3807,4393,4739,5203,5404,5172,4430,4296,3595,3851,3304,3539,3891,4342,4500,4825,5448,5296,4355,4429,3634,4062,3644,3870,3833,4906,5302,5311,4896,5141,4284,4380,4031,3472
Vehicles (Net),1500,50600,50186,49772,49358,48944,48530,48116,47702,47288,46874,46460,46046,45632,45218,44804,44390,43976,43562,43148,42734,42320,41906,41492,41078,40664,40250,39836,39422,39008,38594,38180,37766,37352,36938,36524,36110,35696,35282,34868,34454,34040,33626,33212,32798,32384,31970,31556,31142,30728,30314,29900,29486,29072,28658,28244,27830,27416,27002,26588,26174
Tools & Equipment (Net),1600,20700,20516,20332,20148,19964,19780,19596,19412,19228,19044,18860,18676,18492,18308,18124,17940,17756,17572,17388,17204,17020,16836,16652,16468,16284,16100,15916,15732,15548,15364,15180,14996,14812,14628,14444,14260,14076,13892,13708,13524,13340,13156,12972,12788,12604,12420,12236,12052,11868,11684,11500,11316,11132,10948,10764,10580,10396,10212,10028,9844
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,2010,6306,6145,7577,8265,8838,9107,8607,9140,8102,7006,6362,6761,6266,5983,7337,7622,8952,8238,8815,8664,7691,8087,6256,6134,6511,6121,6493,8289,8702,8859,9959,9625,8761,7605,7332,6819,6154,6530,6847,7660,8077,9705,8786,9043,7947,7962,6367,6131,5764,6569,7168,7862,9045,9376,9198,9789,7591,8022,6346,6217
Credit Card Payable,2100,1866,2502,1928,2332,2695,1903,2523,2321,2307,2198,1759,2868,2110,1895,1873,2117,1866,2749,1773,1924,2556,2277,2106,2657,1986,2151,1946,1787,1821,2868,1769,1982,2548,2751,2559,2343,1857,2066,2098,2829,2381,2792,2299,2506,2108,2796,2805,2287,2773,1946,2675,2540,2411,2591,2412,2028,2204,2724,2130,2695
Accrued Payroll,2200,2635,2711,2965,3526,3711,3725,4176,3980,3736,3439,3033,2658,2731,2574,3182,3334,3386,3897,3773,3727,3470,3143,2833,2995,2794,2666,2910,3226,3838,4138,4246,3772,3805,3190,2990,2967,2790,2921,3009,3309,4007,4267,4180,4118,3643,3541,2907,2836,2815,2907,3439,3475,3839,3875,3906,3792,3676,3648,3031,2840
Customer Deposits,2400,3001,3270,3262,3887,4191,4264,4902,4438,3645,3665,2972,2999,3258,2854,3438,3910,4529,5015,4441,4575,3799,4119,3089,3021,3104,3234,3544,3773,4200,4032,4940,4752,4595,3740,3526,3489,3248,3218,3784,4452,4668,5129,4653,4036,3694,4257,3575,3084,3047,3164,3548,3630,4790,4421,4648,4843,3770,4358,3733,3465
Vehicle Loans (Long Term),2600,41400,40802,40204,39606,39008,38410,37812,37214,36616,36018,35420,34822,34224,33626,33028,32430,31832,31234,30636,30038,29440,28842,28244,27646,27048,26450,25852,25254,24656,24058,23460,22862,22264,21666,21068,20470,19872,19274,18676,18078,17480,16882,16284,15686,15088,14490,13892,13294,12696,12098,11500,10902,10304,9706,9108,8510,7912,7314,6716,6118
Warranty Reserve,2500,1556,1534,1410,1376,1484,1177,1501,1633,1566,1201,1480,1388,1526,1374,1312,1331,1648,1115,1506,1450,1621,1564,1145,1129,1299,1608,1538,1254,1189,1544,1178,1198,1170,1367,1516,1293,1485,1183,1479,1453,1548,1170,1652,1223,1498,1109,1497,1245,1291,1533,1292,1276,1193,1564,1601,1589,1184,1264,1356,1607
Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner Capital,3000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
Retained Earnings,3900,-18341,-19245,-19094,-19167,-19075,-14337,-11933,-10889,-7571,-6604,-7167,-6837,-7801,-6850,-7708,-7498,-6965,-5702,-2621,-297,136,-1113,664,1021,586,761,753,536,671,-12,4103,4794,6822,8323,6582,7791,7705,6425,4734,6324,6957,8374,13018,13889,14977,15627,17095,17079,16373,13654,12537,14743,16081,15962,20426,21537,24902,24613,24734,24865
