Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Checking,1010,27157,29981,32698,38500,43414,50415,55863,60241,65318,69273,72872,76135,79685,83334,88446,94413,101683,108041,117633,125144,133211,138452,142889,147370,151517,156549,162989,169456,178575,188472,199258,208149,216653,226262,232674,238435,243787,250222,259354,268671,279401,294000,304536,317549,329319,339248,349029,357668,365402,373702,382258,395882,409504,426693,443427,461076,473315,485767,496801,505946
Accounts Receivable,1100,4660,4518,5085,6081,6398,6974,7348,7965,7021,6218,5234,6299,5474,5108,5873,8294,7468,7483,8575,8624,9148,8581,5994,6408,5845,6637,8230,8053,8232,9297,9279,11280,8691,7829,8860,7097,7983,8856,10132,9562,11951,13361,10496,11205,12411,9401,10144,8666,7972,10349,10930,10015,13189,11870,12898,14485,13246,12134,10564,10049
Materials Inventory,1300,3065,2958,3747,3946,4557,4480,5088,4513,4343,3822,3856,4016,3845,3683,3943,4599,4923,5967,6075,5250,4667,4447,3918,4166,4001,4336,5291,5090,6343,6350,6761,6346,6420,5191,4677,5344,4481,4797,5267,7026,6239,7815,7503,7050,6366,6740,5823,5408,5504,5337,7316,7279,8331,9407,9870,8121,7615,6999,6302,7247
Vehicles (Net),1500,45100,44731,44362,43993,43624,43255,42886,42517,42148,41779,41410,41041,40672,40303,39934,39565,39196,38827,38458,38089,37720,37351,36982,36613,36244,35875,35506,35137,34768,34399,34030,33661,33292,32923,32554,32185,31816,31447,31078,30709,30340,29971,29602,29233,28864,28495,28126,27757,27388,27019,26650,26281,25912,25543,25174,24805,24436,24067,23698,23329
Tools & Equipment (Net),1600,18450,18286,18122,17958,17794,17630,17466,17302,17138,16974,16810,16646,16482,16318,16154,15990,15826,15662,15498,15334,15170,15006,14842,14678,14514,14350,14186,14022,13858,13694,13530,13366,13202,13038,12874,12710,12546,12382,12218,12054,11890,11726,11562,11398,11234,11070,10906,10742,10578,10414,10250,10086,9922,9758,9594,9430,9266,9102,8938,8774
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,2010,5615,5676,6275,7492,8497,8467,8621,7862,7256,7452,7140,6123,6550,7111,7211,8430,9133,9606,9445,9370,8955,8644,7540,7113,6645,7893,7867,9685,9965,11177,11287,11673,11368,10360,9299,8948,8030,8926,10794,12421,11629,14556,12480,13252,12991,11696,9656,11027,10119,10001,11939,13806,13847,14934,16572,14671,14091,13750,12980,12819
Credit Card Payable,2100,2264,2123,1662,1545,2363,2545,2042,2239,2269,2039,2343,2241,2499,1991,1876,2409,2215,1660,1894,1946,1598,2488,1927,2193,2557,2338,2348,1892,1544,1920,1593,2430,2099,2548,1761,2326,2236,2234,1739,2190,2274,1748,1902,1617,1802,1795,2149,2037,1965,1965,1805,1588,1748,2390,2166,2409,1854,1916,1620,2429
Accrued Payroll,2200,2485,2535,2697,3329,3649,3660,3574,3941,3530,3281,3033,2995,2635,2995,3493,3424,3848,3955,4140,4278,3939,3510,3094,3222,3295,3090,4096,4012,4533,5396,5378,5066,5000,4278,3764,4078,3467,3648,4385,5343,5717,5985,6041,5505,5078,5519,4551,4871,4081,4581,5277,5743,6188,6718,7071,6686,6515,5984,5448,5433
