Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Call Revenue,4000,37926,37708,43203,49568,51059,55443,56675,54198,50860,46771,41611,40250,37150,40035,43859,47822,52865,55274,56299,56701,50558,47874,40384,40865,38617,40323,45481,48747,51450,55175,56700,54758,49948,46612,41541,41302,39953,40816,44195,49501,54029,56350,58036,58100,52492,48855,42676,41589,39639,39916,44752,52048,55144,58152,60088,57667,51507,49300,43573,40836
Project Revenue,4100,20547,22458,22442,24274,26704,33069,32736,31932,26000,25097,22362,23295,22067,20043,22659,27061,27018,29853,34519,31074,30608,28407,21504,22082,21178,22667,22813,27453,27645,33981,33050,33234,25442,23937,24706,21250,21642,21489,23771,25433,31114,33228,32074,28396,28537,28470,23346,24220,23234,20123,25029,27802,32354,34616,33333,30414,31158,25806,24007,23741
Maintenance Plan Revenue,4200,8130,8608,9420,11131,11528,12603,11909,12616,11263,10088,9222,8985,8251,8691,9836,10829,12008,12599,12805,11861,11573,10081,9435,9290,8109,9009,10030,11218,11250,12454,13008,12707,11488,10445,9460,8997,8582,8966,10093,10933,11806,13106,12946,12977,11286,10958,9094,9204,8821,8865,9825,11262,12119,12596,12432,12085,12107,11146,9073,9012
Materials Markup,4300,10961,11493,12858,13931,15225,16623,17517,15426,15041,14291,12987,12345,11349,12022,13655,13985,16024,17286,16522,15988,14870,13288,12390,11824,11553,11505,13231,14592,16334,17717,17557,17582,14679,15101,12310,11637,12236,11930,14032,15188,15902,16711,16867,17455,14751,13840,12374,11995,11662,12663,13814,15912,15585,18145,18759,17467,15029,13757,12307,12151
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subcontractor Labor,5000,21375,22640,24838,28674,30406,32649,32415,30725,29103,27377,25034,23619,22808,21910,25991,28346,29958,32187,33084,32656,30894,28963,24375,23389,21405,22556,25211,29673,29278,34230,32371,33155,27310,27083,25097,22930,23586,24165,26418,27845,31523,32706,34005,32881,29022,28411,24283,24776,22514,23720,25593,30032,31666,35754,34085,31670,30073,28183,25179,23901
Parts & Supplies,5100,16869,17272,18940,20368,21663,24875,24700,25016,21380,21201,18250,17613,17150,16859,19278,21364,23251,24293,26076,24382,22913,21460,17770,17732,16911,18423,20014,21323,22765,24974,26113,25163,22228,20459,18463,17810,18099,17390,19562,20704,23226,24652,24533,24405,23186,21974,18406,18982,18409,17848,20091,23454,24857,26261,25589,25037,23869,20627,19140,18186
Equipment Rental,5200,3003,3218,3517,3791,4068,4466,4683,4286,4107,3947,3477,3200,3234,3304,3555,3807,4256,4542,4798,4526,4039,3867,3271,3274,3101,3363,3473,4163,4311,4601,4512,4587,4068,3588,3516,3124,3178,3149,3784,4099,4456,4771,4548,4754,4293,3922,3583,3408,3359,3289,3517,3998,4621,4630,4961,4455,4343,3917,3410,3427
Disposal & Permit Fees,5300,2260,2186,2381,2730,2965,3170,3363,3296,2787,2639,2444,2269,2219,2244,2507,2880,2985,3201,3198,3196,3114,2889,2338,2357,2238,2361,2649,2835,2858,3278,3491,3223,2951,2717,2540,2428,2351,2441,2558,2710,3229,3315,3491,3379,3127,2870,2430,2426,2237,2307,2633,2968,3144,3505,3608,3323,3226,2689,2600,2428
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Technician Wages,6000,16249,16424,18101,20150,21698,24512,24766,24599,21795,20519,18458,17634,16235,16695,19091,20332,23058,24031,25385,23871,22137,20992,17185,17420,16928,17754,19556,21836,22634,25029,24997,24706,20831,20051,19016,17825,16875,17711,19733,21083,24082,25689,25053,24109,23061,20934,18306,17960,17655,17490,20050,21945,24140,25223,26463,24068,22753,21374,18521,17628
Payroll Taxes & Benefits,6100,2275,2299,2534,2821,3038,3432,3467,3444,3051,2873,2584,2469,2273,2337,2673,2846,3228,3364,3554,3342,3099,2939,2406,2439,2370,2486,2738,3057,3169,3504,3500,3459,2916,2807,2662,2496,2363,2480,2763,2952,3371,3596,3507,3375,3229,2931,2563,2514,2472,2449,2807,3072,3380,3531,3705,3370,3185,2992,2593,2468
Vehicle & Fuel,6200,1775,1993,2118,2396,2607,2934,2671,2628,2587,2280,2098,2092,1870,1886,2228,2516,2773,2824,2997,2672,2541,2471,1980,2115,2003,2042,2369,2372,2775,2996,2946,2807,2421,2278,2192,2072,2022,2022,2167,2425,2728,2879,2775,2917,2448,2383,2233,1989,1973,2053,2170,2676,2827,3083,3077,2947,2497,2471,2084,1979
Shop Rent,6300,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760
Utilities,6400,673,719,823,908,941,952,984,946,910,808,719,741,691,677,816,838,906,1030,1050,959,902,835,712,701,661,716,818,911,951,947,990,971,906,856,763,729,684,717,825,880,953,974,969,1003,881,844,714,742,695,685,768,855,895,1006,1053,957,934,844,752,717
Marketing & Advertising,6500,2118,2176,2220,2231,2199,2162,2313,2139,2207,2319,2262,2401,2269,2403,2431,2329,2329,2319,2518,2567,2560,2501,2418,2581,2500,2638,2654,2685,2730,2555,2701,2755,2703,2643,2721,2641,2827,2882,2850,2841,2925,2941,2980,2921,2832,2811,3051,2923,2872,2895,3154,3184,3009,3110,3072,3131,3294,3068,3239,3226
Franchise Royalty Fees,6600,4654,4816,5275,5934,6271,7064,7130,6850,6190,5775,5171,5092,4729,4847,5401,5982,6475,6901,7209,6937,6457,5979,5023,5044,4767,5010,5493,6121,6401,7160,7219,7097,6093,5766,5281,4991,4945,4992,5525,6063,6771,7164,7195,7016,6424,6127,5249,5220,5001,4894,5605,6421,6912,7411,7477,7058,6588,6001,5338,5144
Corporate Ad Fund Contribution,6650,1551,1605,1758,1978,2090,2355,2377,2283,2063,1925,1724,1697,1576,1616,1800,1994,2158,2300,2403,2312,2152,1993,1674,1681,1589,1670,1831,2040,2134,2387,2406,2366,2031,1922,1760,1664,1648,1664,1842,2021,2257,2388,2398,2339,2141,2042,1750,1740,1667,1631,1868,2140,2304,2470,2492,2353,2196,2000,1779,1715
Insurance,6700,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150
Tools & Small Equipment,6800,538,708,499,706,410,405,586,678,596,482,646,483,609,624,458,464,441,686,443,707,478,712,692,700,454,625,407,437,579,631,537,633,621,533,613,550,425,547,608,590,699,541,705,480,420,448,638,398,394,693,443,411,589,496,670,554,683,638,418,398
Software & Dispatch,6900,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
Interest Expense,7000,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276
