Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Call Revenue,4000,51311,53024,62550,69344,74899,78442,80252,78545,73876,65652,60368,58664,55394,57344,63789,72758,79084,85923,83739,80679,78070,69330,64425,60868,59288,60825,69968,74881,83163,90933,88648,89975,79932,73840,65041,64407,61598,64198,74948,83737,86969,96583,94162,93264,86104,80068,71849,68277,68522,69648,79324,88770,94416,100273,102347,100000,88923,87514,73626,73402
Project Revenue,4100,31539,31324,34668,38195,40047,39218,40293,39100,43281,34388,34042,31391,28717,30144,37254,39714,44023,47802,45843,44347,43420,41432,33818,35090,33020,34274,39496,38079,40854,52554,45020,43780,43261,39859,36615,36450,37278,32715,44006,46600,45132,56253,56577,52897,43998,47668,35862,39488,37024,40893,44164,49052,54220,51157,56720,50281,52105,47486,38035,40996
Maintenance Plan Revenue,4200,11221,11411,13901,14733,16887,16807,16960,17323,16563,15170,12960,12968,11871,12586,13974,16237,16707,17840,19397,18849,16270,15915,13178,14123,13324,13784,15949,16776,18595,19897,19446,19470,17574,15922,14246,14500,14293,13902,15610,17351,19396,21018,20603,20291,18724,18128,16035,15782,15113,14645,17645,19423,20390,22532,22950,21597,19532,19438,15832,16639
Materials Markup,4300,15734,16166,18428,20211,21360,23859,24347,23801,20385,20619,17340,17556,16098,17170,19119,21667,22626,25408,25427,23916,21547,22239,18031,19548,18659,17926,20647,23502,24390,25332,27716,25744,24471,22264,18871,20407,18000,19283,23308,23672,24868,27137,28872,29751,26992,24164,20008,20704,20086,20015,24274,24861,28908,30806,29444,28019,27938,26894,22674,20979
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subcontractor Labor,5000,27153,27874,31721,36509,39005,40143,39138,40050,39257,34556,30188,31049,27003,29513,34490,38302,39385,44495,45080,40745,41024,36398,33033,33209,31570,31399,36549,39504,41328,45437,44056,43136,42649,37390,34247,34322,32295,33548,39893,42109,44412,49712,49485,50290,44568,43916,35985,35641,34728,36137,40951,45759,49279,50221,54122,48494,45631,46497,37186,38460
Materials & Parts,5100,20522,21638,23758,26943,30188,29756,29989,29167,28192,25840,23814,22919,21959,22433,24517,28894,30798,34528,32217,31496,30540,28100,24707,23871,23294,24086,27280,30165,30832,35227,33216,33929,31135,28690,25352,24840,24818,24103,29597,33510,34302,37745,37420,36897,34578,32661,26557,26723,26283,28214,31601,35926,37256,38223,40364,38596,35688,35152,28772,28563
Equipment Rental,5200,3838,3761,4614,5166,5498,5667,5543,5587,5352,4680,4434,4113,4010,3944,4777,5140,5691,6061,6291,6081,5673,4984,4656,4372,4313,4510,4867,5345,6114,6671,6462,6179,5774,5062,4687,4943,4570,4441,5372,5836,6193,6968,7354,6529,6240,5852,5248,5130,5098,5333,5939,6527,6769,7391,7456,6689,6542,6293,5081,5289
Disposal & Permit Fees,5300,2707,2906,3253,3533,3740,3901,3918,4165,3724,3338,3024,2957,2896,3010,3356,3807,4163,4294,4512,4110,4181,3763,3334,3206,3005,3142,3561,3900,4349,4889,4679,4378,4088,3986,3294,3466,3126,3389,3883,4121,4329,4830,5051,4792,4203,4054,3495,3468,3348,3500,4304,4550,4752,5249,5471,4846,4794,4311,3940,3823
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Technician Wages,6000,19497,20532,23934,26227,27908,28507,29376,29311,28032,24878,22566,22010,20456,20649,23476,27486,28709,32078,32243,30881,28863,26825,22885,23409,22744,23090,25779,28078,30567,33685,33137,32824,30153,28133,24467,24773,23314,23560,28724,31456,32048,36804,35859,35492,31001,29891,25858,26240,25206,26077,29632,32990,35574,36803,37395,35266,34211,32876,26697,27962
